"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"ZPG","ZİRAAT PORTFÖY KİRA SERTİFİKALARI (SUKUK) KATILIM FONU","Katılım Şemsiye Fonu","3,7751","11,4366","23,1080","28,7448","44,4425","139,0964","205,2738"
"IJC","İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-8,0077","3,1807","9,6958","28,1216","44,3118","518,7954","-"
"AC1","PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU","Serbest Şemsiye Fonu","3,4293","10,9331","22,5020","28,1682","44,2755","-","-"
"IUH","INVEO PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-3,4256","3,6526","10,2666","22,4252","44,2701","-","-"
"KRS","KARE PORTFÖY SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","-5,9358","1,5533","10,6820","22,1929","44,2471","316,6851","572,8442"
"ZLH","ZİRAAT PORTFÖY BIST 100-30 ŞİRKETLERİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-9,2368","3,6199","13,2172","46,7270","44,2447","-","-"
"RBT","ALBARAKA PORTFÖY KİRA SERTİFİKALARI  KATILIM FONU","Katılım Şemsiye Fonu","3,6527","11,4019","23,2598","29,0498","44,0696","105,2943","153,8701"
"EC2","GLOBAL MD PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-6,4727","-3,4197","2,0044","24,5975","44,0111","851,5615","1.330,5157"
"OHK","OYAK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-6,3654","-6,1168","3,2707","27,8991","43,9742","-","-"
"OHB","OYAK PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-9,1429","1,0235","14,9679","45,1228","43,9569","748,8046","1.376,5264"
"HBN","HSBC PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-4,2581","6,4987","19,7642","31,7607","43,8541","-","-"
"ZBD","ZİRAAT PORTFÖY DENGELİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-3,5813","4,3875","14,6903","33,8853","43,6188","339,1781","501,2076"
"ZCD","ZİRAAT PORTFÖY ALTINCI SERBEST (TL) FON","Serbest Şemsiye Fonu","0,3680","11,3602","21,4477","28,7167","43,4797","-","-"
"OPL","OSMANLI PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-0,5406","5,0757","19,7737","29,3781","43,4029","319,9437","-"
"GO3","FONERİA PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-2,4804","5,0141","14,5259","22,8682","43,3300","-","-"
"HGM","HEDEF PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-3,5392","5,9653","6,4856","40,0303","43,1582","-","-"
"ELZ","QİNVEST PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-5,6385","1,7030","9,9866","33,0469","43,1193","614,0598","-"
"HKH","HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-6,8581","-2,0038","5,0227","38,6170","43,0879","-","-"
"TPP","TEB PORTFÖY PUSULA SERBEST FON","Serbest Şemsiye Fonu","0,8059","17,5538","26,0642","38,4606","42,9903","723,2210","1.843,6175"
"YUB","YAPI KREDİ PORTFÖY KARAKÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-11,1515","2,3602","20,1938","53,4747","42,9254","-","-"
"TBE","TEB PORTFÖY SAĞLIK VE BİYOTEKNOLOJİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","3,3898","15,6418","25,9502","32,3589","42,8980","-","-"
"TLZ","ATA PORTFÖY ANALİZ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-10,3657","0,2018","11,4356","37,5525","42,7278","798,4419","1.205,5305"
"TPV","AURA PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-0,7775","2,8028","10,3957","20,0235","42,7063","190,0694","313,7831"
"AYA","ATA PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-6,7856","-2,6189","11,5534","38,1446","42,6446","474,7508","954,9826"
"GPC","GARANTİ PORTFÖY İKİNCİ SERBEST ( DÖVİZ ) FON","Serbest Şemsiye Fonu","3,3046","8,1525","15,7991","19,7705","42,6195","338,4208","672,4729"
"IHC","INVEO PORTFÖY INTER SERBEST FON","Serbest Şemsiye Fonu","2,1593","1,6488","15,9727","16,1700","42,5724","-","-"
"TJI","TEB PORTFÖY İKİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-0,9348","7,6676","20,1109","29,2200","42,4872","-","-"
